Unnamed: 0,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
1354,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,True,1
1355,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,False,1
1356,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,True,5
1357,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,False,5
1358,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,True,5
1359,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,False,5
1360,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,True,5
1361,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,False,5
1362,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,True,5
1363,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,False,5
1364,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,True,5
1365,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,False,5
1366,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,True,5
1367,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,False,5
1368,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,True,10
1369,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,False,10
1370,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,True,10
1371,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,False,10
1372,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,True,10
1373,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,False,10
1374,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,True,10
1375,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,False,10
1376,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,True,10
1377,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,False,10
1378,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,True,10
1379,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,False,10
1380,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,True,20
1381,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,False,20
1382,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,True,20
1383,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,False,20
1384,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,True,20
1385,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,False,20
1386,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,True,20
1387,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,False,20
1388,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,True,20
1389,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,False,20
1390,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,True,20
1391,1.0,1.0,1.0,1.0,1.0,clean1,5,DT,False,20
1392,1.0,1.0,1.0,1.0,1.0,clean1,0,RF,True,1
1393,1.0,1.0,1.0,1.0,1.0,clean1,0,RF,False,1
1394,1.0,1.0,1.0,1.0,1.0,clean1,1,RF,True,1
1395,1.0,1.0,1.0,1.0,1.0,clean1,1,RF,False,1
1396,1.0,1.0,1.0,1.0,1.0,clean1,2,RF,True,1
1397,1.0,1.0,1.0,1.0,1.0,clean1,2,RF,False,1
1398,1.0,1.0,1.0,1.0,1.0,clean1,3,RF,True,1
1399,1.0,1.0,1.0,1.0,1.0,clean1,3,RF,False,1
1400,1.0,1.0,1.0,1.0,1.0,clean1,4,RF,True,1
1401,1.0,1.0,1.0,1.0,1.0,clean1,4,RF,False,1
1402,1.0,1.0,1.0,1.0,1.0,clean1,5,RF,True,1
1403,1.0,1.0,1.0,1.0,1.0,clean1,5,RF,False,1
1404,1.0,1.0,1.0,1.0,1.0,clean1,0,RF,True,5
1405,1.0,1.0,1.0,1.0,1.0,clean1,0,RF,False,5
1406,1.0,1.0,1.0,1.0,1.0,clean1,1,RF,True,5
1407,1.0,1.0,1.0,1.0,1.0,clean1,1,RF,False,5
1408,1.0,1.0,1.0,1.0,1.0,clean1,2,RF,True,5
