Unnamed: 0,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,diff_test_accuracy,diff_test_balanced_accuracy,diff_test_f1,diff_test_precision,diff_test_recall
162.0,clean1,NB,feat,-2.1929824561617295e-05,-0.0022556775432983,-0.0017096499246104,0.0156234313761853,-0.0193960511033681,,,,,
163.0,clean1,NB,feat,-0.0126315789473685,-0.0139889017937798,-0.014876487171151,-0.0043316895093706,-0.0242740998838559,,,,,
164.0,clean1,NB,feat,-0.0084429824561401,-0.0074074074074071,-0.0066552077872488,-0.008940121517704,0.0,,,,,
165.0,clean1,NB,feat,-0.0168421052631578,-0.0183378500451668,-0.0198879551820727,-0.0105220361034314,-0.0292682926829269,,,,,
166.0,clean1,NB,feat,-0.0021052631578943,-0.0024390243902437,-0.002512112238824,-0.0001695074865806,-0.004878048780488,,,,,
167.0,clean1,NB,feat,0.010548245614035,0.0088581119414067,0.0106878963778883,0.0256710794547468,-0.004645760743322,,,,,
168.0,clean1,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
169.0,clean1,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
170.0,clean1,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
171.0,clean1,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
172.0,clean1,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
173.0,clean1,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
174.0,clean1,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
175.0,clean1,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
176.0,clean1,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
177.0,clean1,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
178.0,clean1,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
179.0,clean1,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
180.0,dna,KNN,feat,-0.0018838304552591,-0.0007398192576795,-0.0014565779728451,-0.0020343762110879,-0.0007398192576795,,,,,
181.0,dna,KNN,feat,-0.0009419152276294,-0.0003699096288395,-0.0011098804479161,-0.001408245281626,-0.0003699096288395,,,,,
182.0,dna,KNN,feat,-0.0025078369905956,-0.0025344117933417,-0.0025487956780729,-0.0024452313657412,-0.0025344117933417,,,,,
183.0,dna,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
184.0,dna,KNN,feat,-0.0031397174254317,-0.0022484186692466,-0.0031840118499912,-0.0034898418658606,-0.0022484186692466,,,,,
185.0,dna,KNN,feat,0.004075235109718,0.0044787410524038,0.0043930042277012,0.0043567465879505,0.0044787410524038,,,,,
186.0,dna,SVC,feat,-0.0006279434850864,-0.0008714596949889,-0.0006876796545154,-0.0004735798394387,-0.0008714596949889,,,,,
187.0,dna,SVC,feat,0.0003139717425432,0.0002014098690835,0.0002044989775051,0.0002076843198337,0.0002014098690835,,,,,
188.0,dna,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
189.0,dna,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
190.0,dna,SVC,feat,-0.0003139717425429,-0.0002014098690837,-0.0003096383272181,-0.0004069450006853,-0.0002014098690837,,,,,
191.0,dna,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
192.0,dna,NB,feat,-0.0003139717425432,-0.0002014098690835,-0.0003043958984658,-0.0004036074790217,-0.0002014098690835,,,,,
