,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall
168,soybean,LR,feat,0.0,0.0,0.0,0.0,0.0
169,soybean,LR,feat,0.0,0.0,0.0,0.0,0.0
170,soybean,LR,feat,0.0,0.0,0.0,0.0,0.0
171,soybean,LR,feat,-0.08148148148148149,-0.055555555555555525,-0.08267036068572992,-0.0917789361469954,-0.055555555555555525
172,soybean,LR,feat,-0.04444444444444445,-0.055555555555555525,-0.07349189849189847,-0.08136375273472046,-0.055555555555555525
173,soybean,LR,feat,0.0,0.0,0.0,0.0,0.0
174,mfeat_karhunen,LR,feat,0.0,0.0,0.0,0.0,0.0
175,mfeat_karhunen,LR,feat,0.0,0.0,0.0,0.0,0.0
176,mfeat_karhunen,LR,feat,0.0,0.0,0.0,0.0,0.0
177,mfeat_karhunen,LR,feat,0.0,0.0,0.0,0.0,0.0
178,mfeat_karhunen,LR,feat,0.0,0.0,0.0,0.0,0.0
179,mfeat_karhunen,LR,feat,0.0,0.0,0.0,0.0,0.0
180,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.048125000000000084,-0.048125000000000084,-0.03163728843193603,-0.05173926234749837,-0.009999999999999898
181,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.027499999999999858,-0.027499999999999858,-0.0008936334356254294,-0.02849225806791733,0.028749999999999942
182,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.050000000000000044,-0.050000000000000044,-0.05519165601257903,-0.05161260477268803,-0.05750000000000011
183,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.025000000000000022,-0.025000000000000022,-0.004240546186633387,-0.027813534523185246,0.017499999999999905
184,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.02937500000000004,-0.02937500000000004,-0.013452960090000077,-0.027722838817198614,-0.0024999999999999467
185,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.06312500000000004,-0.06312500000000004,-0.06155075707899815,-0.06619220501514161,-0.05624999999999991
186,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.1374999999999999,-0.1374999999999999,-0.13434356304499218,-0.14019320902609705,-0.12875000000000014
187,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.1512500000000001,-0.1512500000000001,-0.14881224087382855,-0.15074225263364133,-0.14625
188,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.14375,-0.1437500000000002,-0.1580733261272561,-0.1446716677635893,-0.17125000000000018
189,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.15749999999999992,-0.15749999999999992,-0.15874871886782005,-0.1591012394421476,-0.1587500000000001
190,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.13687500000000002,-0.13687500000000002,-0.14986775609057518,-0.1369296455394854,-0.16250000000000014
191,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.14187499999999992,-0.14187499999999992,-0.12997797511858705,-0.14582925105719324,-0.11625000000000008
192,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.14000000000000012,-0.14000000000000012,-0.16549655558590043,-0.1533033750517041,-0.17500000000000016
193,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.12312500000000004,-0.12312500000000004,-0.1256277682471062,-0.13222708900623104,-0.11374999999999996
194,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.125625,-0.125625,-0.1367417073980013,-0.1367216270940716,-0.13750000000000007
195,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.11312500000000003,-0.11312500000000003,-0.10490523366832094,-0.12353149851259138,-0.08625000000000005
196,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.0981249999999999,-0.0981249999999999,-0.09708612966443986,-0.10998461374543056,-0.08375000000000005
197,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.13812499999999994,-0.13812499999999994,-0.12857867076880192,-0.15209637795144848,-0.10624999999999996
198,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.029374999999999984,-0.029374999999999984,-0.03787879473202188,-0.028464553304517026,-0.04625000000000001
